"","COGS004","COGS005","COGS007","COGS008","COGS009","COGS011","COGS012","COGS013","COGS014","COGS015","COGS016","COGS017","COGS018","COGS020","COGS021","COGS022","COGS023","COGS026","COGS028","COGS029","COGS030","COGS033","COGS034","COGS035","COGS037","COGS038","COGS039","COGS040","COGS041","COGS043"
"AP1M2",4123.0695799823,2986.30359514962,3543.38113687188,1341.08845813429,1750.4168372448,1.83542105160891,1763.11915544449,1997.366465258,2280.04492707132,4886.22840144528,1747.7509675447,3031.00808702817,1946.08974551233,1799.61277312641,2194.19094333739,1141.62000133941,4.34405165718566,0.942645759944897,465.776613905443,9.68664474860404,392.604418918106,18.6142259850799,32.4724194668064,0.322596610113319,0.937385215203581,114.924436251289,21.1309414446744,0.9236466159752,756.798645569583,2.79591058869397
"AQP6",8121.44929926232,631.701894244786,4372.21228313585,1187.98470292974,1430.14954612911,364.08931872723,2261.52622210684,2627.35008528171,1708.04976324315,177.034830561507,308.471275639243,790.532059590724,1680.28978518957,202.393125739306,550.361889106247,2124.85111942526,149894.979585767,96043.7139453582,49630.7891097911,70110.3440459071,81449.027948719,180479.715813888,35819.1273217342,83404.6659165652,160075.502608908,9703.61601690173,22786.6852566294,172538.498576666,18979.5783432988,60884.9769953445
"ATP2C1",5794.03423878589,4610.89437444775,10472.0370112583,2408.06734130399,3760.98372035993,2974.09111187006,2656.09848321454,3295.59997378511,4132.343975272,10034.3901994438,3315.32629847081,5136.16124516136,4681.85509800099,2943.27412390495,3352.23170990022,2664.0423777304,1663.76120770144,2160.71330856189,2156.22344632682,1715.43632406697,3022.92406118711,2592.07492545666,1059.38151517094,2323.85821319714,2764.02010149236,1602.7982705217,1224.85370061379,1600.88826759847,3213.42060831886,1725.93224493608
"BSPRY",25785.932835186,3029.90733035156,4949.60027266806,4242.93870212754,5095.43076667529,1206.22512861436,1222.02444649855,2827.14028702836,6531.20168628682,3607.46358245682,589.932169859921,1361.94758423548,2112.45548154768,605.314929903534,1175.1804947941,2251.71965079118,4.34405165718566,33.2498000598351,701.586844310442,143.97909187726,407.725772383495,18.6142259850799,301.456089480459,128.88414992212,65.2838333753403,318.447074721438,53.2110627113135,187.182540869017,393.405604367052,77.5293317333145
"CLDN8",26860.1244015597,8414.26534173966,34042.5047774843,12357.4377279688,6081.14231822023,324.72477719364,7995.51492884735,17346.5709567051,9914.90853912664,12668.9191821769,11013.8541513343,18659.9757872481,12412.9262265554,12373.9591524311,36518.3229861637,7093.86859792363,67.4808237832506,0.942645759944897,15796.0797425499,728.269037279132,1172.5479134487,18.6142259850799,165.902875843365,55.5389099169152,0.356077970851364,1033.85998570742,101.570648501322,170.712182887703,4120.84065857313,2.79591058869397
"DNAI3",35.511373768887,2.10122880220612,8.23198902167083,2.97365621897651,1.22593487932871,1.83542105160891,42.9225434223366,0.668610230940582,2.13563370054075,189.268371317164,40.8268348515565,0.313679446227427,0.388907131961563,0.849138846494412,77.6588078397798,10.3755966599948,4.34405165718566,625.240924212527,230.37225308806,155.759131099072,213.137829105198,18.6142259850799,403.449521665268,227.126398002485,171.144304143529,233.645975358876,250.639470705505,91.1054526446852,200.021003493191,551.78744563152
"ELMO3",9135.96355639307,1330.76822957914,1308.33085481173,789.20282890858,1170.37718777972,2122.66703937388,975.128353290814,1445.92939632421,1844.36331995933,934.075117323384,640.460913843437,1254.15997703314,889.871968396448,864.284419833146,650.136587920276,1342.49517600211,4.34405165718566,21.1953495556085,1049.41708089751,176.963201698334,455.875345260128,18.6142259850799,234.437610254961,127.538365701841,185.259033579287,242.897004380246,132.693154207763,165.222063560598,418.906870416353,2.79591058869397
"ESRP1",31574.6318317555,3581.28359484062,8339.42653379262,4856.54057376128,3383.78002193479,985.076018875093,1771.19519587652,6756.88465848056,8380.2396446139,4658.10884735448,1872.88856006638,4574.39482945829,3663.67753259797,3966.85464974406,1449.96982923274,3837.57629286512,108.94265193697,0.942645759944897,1856.48875587228,273.559523317191,902.35320284346,18.6142259850799,232.82027138979,62.9407231284496,32.8199556730958,431.001261148112,99.9746225676581,108.948340457775,687.732716686061,2.50235528521503
"HOOK2",9195.64086563605,1598.01692920394,1159.32750267439,1026.57299201641,1028.03616950608,847.07897439779,798.609183847897,881.199834129051,1532.60312804386,1199.6149137256,1028.50587740435,1110.83540763089,1028.30944773122,520.679649675142,653.407889520736,1131.04762372559,4.34405165718566,40.1590582756723,690.019561063381,202.87928798632,197.618545285456,18.6142259850799,201.585414556187,176.659489742023,181.02461474856,212.060240975678,133.810372361327,126.791228270866,312.651595210934,2.79591058869397
"ITGB3",35.511373768887,330.695464141062,675.066608228021,130.500626284345,419.528316386282,623.276075341651,262.129355148835,736.996422384494,549.710640143012,25.9146212269114,586.37936754858,439.869320002301,559.066582994756,851.263607490317,179.069157454039,190.106016095042,1005.55468576115,7581.39389262108,5032.01240938125,1797.89659861966,1279.59117876948,1627.96986067849,3459.91672580011,9136.89082835948,1074.48698803207,2648.16454993656,5585.35615397621,1363.44060670119,4726.49572724402,566.573784055598
